,bolivia,test,train,valid
band01,1299.0758877275484,1462.845840775739,1499.0547936056112,1483.5639736433975
band02,987.6644608232863,1219.011546249691,1252.1335950417902,1233.0668513123485
band03,888.758633007859,1194.2822298316132,1226.1924410883375,1199.104209394313
band04,590.6001705916169,1024.8681455241017,1060.8374058522893,1035.7523289426192
band05,885.0494107718066,1290.2173272865755,1333.971543999841,1300.9611164970208
band06,1828.0477861582638,2226.987092080498,2295.6995162938565,2233.0962746723594
band07,2322.7483467866396,2683.886378679955,2767.0285178995955,2689.8625999120463
band08,2137.0412524489716,2479.1605503661713,2555.294710229472,2486.1786798293647
band09,2547.407744902577,2913.4454591431727,3004.0952607961226,2919.489274084768
band10,227.97322697318955,437.98650198247384,458.6916003358662,453.3520238387069
band11,8.496279505478574,49.11648686919678,62.28367726408628,57.21970531751477
band12,1334.6173121351724,1873.7230700506977,1932.258080085284,1878.6030211298748
band13,586.1534954013651,1032.574453890496,1068.392378144096,1032.6462665544864
