,S1Hand,LabelHand,region,imageId,sampleType,split,band01_sum,band02_sum,band03_sum,band04_sum,band05_sum,band06_sum,band07_sum,band08_sum,band09_sum,band10_sum,band11_sum,band12_sum,band13_sum,band01_sumsq,band02_sumsq,band03_sumsq,band04_sumsq,band05_sumsq,band06_sumsq,band07_sumsq,band08_sumsq,band09_sumsq,band10_sumsq,band11_sumsq,band12_sumsq,band13_sumsq,pixel_count
0,Ghana_24858_S1Hand.tif,Ghana_24858_LabelHand.tif,Ghana,24858,S1Hand.tif,train,355637701.0,289058480.0,289653477.0,214603010.0,326987497.0,703075962.0,854740314.0,781064115.0,946048250.0,100864069.0,6121160.0,556644868.0,255840094.0,483518082925.0,320456826850.0,322232379141.0,180675027146.0,411325918031.0,1901443712456.0,2813395219862.0,2352625583659.0,3446906845632.0,39075838137.0,143579662.0,1198539907640.0,259820312374.0,262144
1,Ghana_147015_S1Hand.tif,Ghana_147015_LabelHand.tif,Ghana,147015,S1Hand.tif,train,364367451.0,297974197.0,298606765.0,223247075.0,337640667.0,678237384.0,814456360.0,753534410.0,906570822.0,102485541.0,5278220.0,551859423.0,265888713.0,506580442565.0,339182113879.0,341136002795.0,193653356269.0,436844937707.0,1765578229570.0,2549275236846.0,2185010285364.0,3158159455700.0,40202650885.0,109364798.0,1181895909861.0,281461239887.0,262144
2,Ghana_953791_S1Hand.tif,Ghana_953791_LabelHand.tif,Ghana,953791,S1Hand.tif,train,394269247.0,329792319.0,325819993.0,269038770.0,362103727.0,654134967.0,783892727.0,717030796.0,862716728.0,114035634.0,13876736.0,561434569.0,299399544.0,593751076665.0,416212837267.0,406953746815.0,282295672214.0,504129022411.0,1657850802887.0,2386321673721.0,1999624571502.0,2893879724426.0,50143780840.0,741590508.0,1244774244849.0,365744977664.0,262144
3,Ghana_154838_S1Hand.tif,Ghana_154838_LabelHand.tif,Ghana,154838,S1Hand.tif,train,77630576.0,68848969.0,66707907.0,54086745.0,72418211.0,128698597.0,153550955.0,140562288.0,169160617.0,29607890.0,3643467.0,89785777.0,51008186.0,146135705310.0,117021081803.0,109419600959.0,74099151913.0,128358580393.0,399401872659.0,568837652265.0,477338763162.0,691078696917.0,22591590500.0,333289293.0,195858591333.0,66654852134.0,42107
4,Ghana_134751_S1Hand.tif,Ghana_134751_LabelHand.tif,Ghana,134751,S1Hand.tif,train,71175529.0,61311159.0,58114792.0,49499339.0,61092144.0,105704550.0,124660943.0,115954912.0,136567244.0,29185314.0,1639830.0,85842047.0,55841919.0,136472738289.0,102399521743.0,91880873494.0,68197610257.0,101581939894.0,299516991634.0,416655127131.0,360809664738.0,500295640832.0,23772531976.0,76167058.0,198233493597.0,86326558859.0,43016
5,Ghana_61925_S1Hand.tif,Ghana_61925_LabelHand.tif,Ghana,61925,S1Hand.tif,train,367705618.0,299873522.0,297076848.0,214381977.0,326576029.0,683063403.0,820680501.0,758723266.0,909588505.0,113746564.0,9586859.0,521138099.0,243556240.0,516208638454.0,343681580972.0,337623255900.0,176899718609.0,408324473529.0,1792525553481.0,2590892219337.0,2216732754814.0,3182057145079.0,49780019350.0,480606235.0,1047011625599.0,231208592558.0,262144
6,Ghana_156478_S1Hand.tif,Ghana_156478_LabelHand.tif,Ghana,156478,S1Hand.tif,train,370598300.0,304573680.0,307699816.0,244615813.0,350409606.0,695311452.0,836180711.0,769425909.0,927846413.0,107174549.0,11467431.0,607936926.0,324621614.0,524091089132.0,354339604474.0,362102799808.0,233289399813.0,470974453980.0,1859739727742.0,2694137271665.0,2284124279559.0,3316465454451.0,43970731413.0,504504753.0,1435722004318.0,428767502894.0,262144
7,Ghana_144050_S1Hand.tif,Ghana_144050_LabelHand.tif,Ghana,144050,S1Hand.tif,train,36762024.0,30685507.0,29422892.0,24448458.0,32636860.0,58621669.0,69717132.0,63966939.0,76445321.0,10817905.0,455147.0,48488011.0,25623927.0,58342051110.0,41097609553.0,37943173996.0,27069837940.0,46995755644.0,149108243343.0,210755631520.0,177598032497.0,253467332669.0,5493269865.0,9033675.0,104415092035.0,30284176937.0,23551
8,Ghana_49890_S1Hand.tif,Ghana_49890_LabelHand.tif,Ghana,49890,S1Hand.tif,train,362415933.0,293945293.0,281946101.0,203251696.0,295666401.0,637473343.0,766209177.0,712468827.0,849866492.0,117401910.0,10098537.0,478138627.0,225653060.0,502210364281.0,330978816817.0,304945649815.0,160039180836.0,336138368327.0,1557832571643.0,2251451310993.0,1947905160445.0,2770616524988.0,53488191988.0,455132681.0,883229223653.0,202264604734.0,262144
9,Ghana_97516_S1Hand.tif,Ghana_97516_LabelHand.tif,Ghana,97516,S1Hand.tif,train,274893791.0,228064561.0,231075989.0,185570964.0,263903955.0,507320476.0,612086099.0,561161551.0,680344952.0,76485249.0,5779206.0,435682342.0,216657542.0,404988516237.0,280832184187.0,290031070223.0,195096969686.0,382868142485.0,1412248249146.0,2060676539771.0,1738644209065.0,2553593340334.0,32471030437.0,181980834.0,1076459480660.0,273679722970.0,187555
10,Ghana_168875_S1Hand.tif,Ghana_168875_LabelHand.tif,Ghana,168875,S1Hand.tif,train,67433805.0,53816593.0,50093817.0,38510189.0,54091438.0,108255230.0,132307190.0,121945855.0,148825368.0,21715441.0,1725689.0,85134457.0,42306078.0,110708627193.0,70875104653.0,61922799013.0,37968312169.0,72941772868.0,287292103656.0,428774457698.0,365049657677.0,542702870318.0,12391675891.0,81050339.0,180129144743.0,47166368504.0,41796
11,Ghana_141910_S1Hand.tif,Ghana_141910_LabelHand.tif,Ghana,141910,S1Hand.tif,train,534531473.0,479020963.0,477205950.0,466513043.0,493004138.0,571920894.0,643285060.0,571791405.0,644241507.0,166035614.0,13361257.0,454427524.0,361854231.0,1098277749571.0,886063323717.0,879662273366.0,846363067765.0,941673019786.0,1274881823482.0,1614635830544.0,1283689792873.0,1631560889739.0,111296912320.0,699379399.0,823168408032.0,526083318499.0,262144
12,Ghana_146222_S1Hand.tif,Ghana_146222_LabelHand.tif,Ghana,146222,S1Hand.tif,train,328620637.0,279241347.0,266401219.0,218223177.0,278728113.0,519504578.0,625145644.0,570830584.0,687007151.0,88062316.0,8389799.0,409484278.0,224289118.0,611356158219.0,447835270383.0,409727316311.0,288902103449.0,449919079611.0,1518535925484.0,2196996131652.0,1834227123324.0,2654777856931.0,44055440586.0,401009403.0,963245380946.0,310513127212.0,181656
13,Ghana_11745_S1Hand.tif,Ghana_11745_LabelHand.tif,Ghana,11745,S1Hand.tif,train,424067551.0,357096387.0,349995029.0,286280304.0,383248948.0,712075371.0,849975639.0,785240245.0,937145219.0,146352548.0,7882473.0,608305459.0,353911481.0,687648174335.0,488334671571.0,469022739957.0,315576058678.0,562737562286.0,1941486091967.0,2767304934929.0,2362458932943.0,3363690818449.0,82862894214.0,239767457.0,1423467286335.0,486268082695.0,262144
14,Ghana_161233_S1Hand.tif,Ghana_161233_LabelHand.tif,Ghana,161233,S1Hand.tif,train,3068229.0,2446199.0,2443451.0,1811316.0,2562072.0,4865025.0,5895759.0,5238754.0,6344812.0,960239.0,92924.0,2994277.0,1739478.0,5037050677.0,3226686169.0,3248906145.0,1834031572.0,3612269520.0,12874606351.0,18883490767.0,14929451328.0,21804365922.0,519992505.0,4795266.0,4928579265.0,1731993592.0,1892
15,Ghana_7496_S1Hand.tif,Ghana_7496_LabelHand.tif,Ghana,7496,S1Hand.tif,train,375038058.0,305097284.0,305455418.0,218264951.0,324574296.0,704370796.0,841812692.0,783007229.0,932699427.0,114937521.0,8678430.0,507220467.0,246836320.0,538131156702.0,356794755930.0,357885722110.0,185446343555.0,405213223406.0,1908225000270.0,2727803077130.0,2362134748557.0,3349166804471.0,51275119965.0,300386562.0,999418201403.0,246931784568.0,262144
